Array values for run #1:
FIFO	LIFO	Sorted	Data	Priority
89	76	35	4	2
5	64	33	54	1
28	83	32	38	1
65	59	44	86	3
3	45	66	10	2
23	68	93	23	1
59	6	62	33	2
22	5	61	69	1
94	71	73	35	1
12	93	35	34	3
90	87	28	95	3
8	97	59	39	1
30	56	46	6	1
36	82	24	68	2
36	19	68	79	2
82	74	58	99	1
2	69	55	83	1
38	59	81	65	2
1	54	52	93	3
25	26	31	81	3
48	73	64	29	3
62	59	93	58	3
8	45	95	6	2
14	88	16	68	1
46	9	24	64	1
19	28	38	34	1
14	14	48	98	3
47	67	19	4	2
6	13	75	1	3
20	30	17	83	1
93	0	51	10	1
48	18	24	84	1
13	25	14	5	2
5	34	19	5	2
3	89	84	99	3
47	25	73	66	1
50	57	96	4	2
32	20	33	34	2
6	48	81	40	1
14	55	62	49	3
37	10	60	26	1
32	36	39	35	2
35	99	49	63	1
19	89	40	20	3
9	54	14	14	1
90	17	19	55	1
89	80	98	61	3
61	58	66	11	1
82	82	70	67	3
55	95	81	78	1
24	47	25	3	3
95	76	94	20	1
69	19	67	30	3
77	26	41	65	1
26	72	76	84	3
26	15	78	79	2
6	97	68	93	2
32	62	18	47	3
37	82	99	86	2
7	52	11	83	2
51	35	68	20	2
71	9	45	86	1
29	84	39	47	1
8	43	33	92	3
95	80	67	82	3
96	38	72	86	2
68	10	75	7	2
26	0	72	39	2
83	3	10	51	3
21	0	8	3	3
7	75	7	94	3
64	95	7	44	3
50	20	3	81	3
56	45	3	18	3
68	71	1	39	3
62	20	1	34	3
59	69	0	31	3

Array values for run #2:
FIFO	LIFO	Sorted	Data	Priority
5	36	17	7	2
22	96	23	10	2
1	15	17	41	3
54	40	34	5	1
94	95	70	79	3
44	23	23	61	1
49	80	96	89	2
40	44	33	46	3
70	74	50	14	2
69	41	66	92	2
72	60	86	27	3
8	46	35	67	3
93	62	15	30	2
82	37	27	22	2
6	22	45	92	1
77	23	60	26	3
76	21	43	48	1
97	0	52	35	1
29	56	53	11	3
57	55	15	44	1
97	35	43	57	1
5	60	84	8	1
86	94	4	11	3
97	50	8	25	1
69	98	17	16	3
19	73	13	42	2
63	65	57	65	3
59	96	84	37	1
53	93	37	15	1
20	76	18	70	1
55	42	6	79	2
53	56	54	5	2
42	35	99	96	2
79	46	68	25	2
28	77	73	77	2
0	73	49	82	3
67	15	20	72	2
65	74	27	4	2
5	66	21	23	1
72	53	43	36	1
35	22	94	9	1
3	55	6	14	2
7	81	45	0	3
49	74	77	62	3
16	36	0	74	2
51	13	64	64	1
52	49	96	22	1
86	78	15	77	3
94	99	26	28	3
6	17	69	33	1
81	67	6	71	1
36	56	86	35	2
77	68	49	12	2
4	18	43	91	1
79	12	71	19	3
18	52	84	94	3
53	27	6	73	2
81	90	43	24	2
97	85	42	38	3
62	0	72	0	2
75	97	64	98	2
91	4	46	17	2
60	28	8	72	1
64	44	14	28	2
24	41	8	42	1
65	28	84	19	1
32	71	74	39	3
10	9	48	13	3
35	84	28	63	3
91	97	51	52	1
53	9	68	92	2
3	64	92	6	3
68	40	43	37	2
43	29	43	25	3
77	0	38	93	3
37	45	37	18	1
23	48	83	28	2
79	7	57	85	3
93	10	91	49	2
79	69	69	41	2
14	7	75	43	3
14	57	86	46	2
30	1	32	1	1
12	39	2	48	2
87	74	30	86	3
88	56	58	49	2
69	6	75	75	3
60	56	53	65	3
85	16	48	21	1
53	36	29	67	3
73	42	50	64	1
9	76	93	86	1
21	52	36	35	3
86	3	7	30	1
44	22	78	23	1
81	69	72	12	3
39	10	27	47	3
95	40	35	1	1
19	56	55	75	1
53	94	41	58	1

----------------RUN TWO----------------

FIFO	LIFO	Sorted	Data	Priority
5	41	96	5	1
22	60	86	61	1
1	46	70	7	2
54	62	66	10	2
94	37	50	89	2
44	22	45	92	1
49	23	60	14	2
40	21	43	48	1
70	0	52	35	1
69	56	53	92	2
72	55	35	44	1
8	35	43	57	1
93	60	84	8	1
82	94	34	30	2
6	50	33	25	1
77	98	27	22	2
76	73	23	42	2
97	65	57	41	3
29	96	84	37	1
57	93	37	15	1
97	76	23	70	1
5	42	18	79	2
86	56	54	5	2
97	35	99	96	2
69	46	68	25	2
19	77	73	77	2
63	73	49	79	3
59	15	20	72	2
53	74	27	4	2
20	66	21	23	1
55	53	43	36	1
53	22	94	9	1
42	55	17	14	2
79	81	45	46	3
28	74	77	27	3
0	36	17	74	2
67	13	64	64	1
65	49	96	22	1
5	78	17	67	3
72	99	26	26	3
35	17	69	33	1
3	67	15	71	1
7	56	86	35	2
49	68	49	12	2
16	18	43	91	1
51	12	71	11	3
52	52	84	11	3
86	27	15	73	2
94	90	43	24	2
6	85	42	16	3
81	0	72	0	2
36	97	64	98	2
77	4	46	17	2
4	28	15	72	1
79	44	14	28	2
18	41	13	42	1
53	28	84	19	1
81	71	74	65	3
97	9	48	82	3
62	84	28	0	3
75	97	51	52	1
91	9	68	92	2
60	64	92	62	3
64	40	43	37	2
24	29	43	77	3
65	0	38	28	3
32	45	37	18	1
10	48	83	28	2
35	7	57	19	3
91	10	91	49	2
53	69	69	41	2
3	7	75	94	3
68	57	86	46	2
43	1	32	1	1
77	39	8	48	2
37	74	30	38	3
23	56	58	49	2
79	6	75	39	3
93	56	53	13	3
79	16	48	21	1
14	36	29	63	3
14	42	50	64	1
30	76	93	86	1
12	52	36	6	3
87	3	8	30	1
88	22	78	23	1
69	69	72	25	3
60	10	27	93	3
85	40	35	1	1
53	56	55	75	1
73	94	41	58	1
9	74	8	85	1
21	44	7	43	1
86	80	6	86	1
44	23	6	75	1
81	95	6	65	1
39	40	6	67	1
95	15	4	35	1
19	96	2	12	1
53	36	0	47	1
Array values for run #3:
FIFO	LIFO	Sorted	Data	Priority
73	33	27	57	2
99	88	22	12	1
95	36	44	60	2
31	2	27	50	1
29	44	19	56	3
61	45	65	95	2
85	97	46	26	2
23	31	30	10	2
90	30	54	34	3
70	64	9	80	2
17	98	78	26	1
16	73	18	27	2
24	39	1	39	3
3	4	65	67	2
98	56	75	89	3
12	16	72	71	2
60	40	2	54	1
50	86	20	1	3
24	61	93	42	3
8	50	86	52	3
72	95	5	53	1
83	63	12	40	2
23	68	16	58	3
86	75	15	53	2
43	64	17	24	2
12	43	15	98	3
50	22	44	67	1
35	46	64	36	3
77	71	31	73	2
45	56	25	75	2
91	94	37	53	1
45	76	78	97	3
70	14	22	98	3
32	7	65	37	3
70	84	57	64	1
85	79	41	69	1
73	44	0	23	3
81	90	68	89	2
27	84	60	75	3
37	65	76	74	2
10	39	83	12	1
1	46	11	31	3
20	17	32	76	2
85	18	72	81	3
79	22	46	26	3
73	86	55	15	2
99	50	30	12	3
6	34	82	48	2
79	15	21	69	1
21	40	86	37	3
56	36	33	92	3
34	67	40	42	3
91	0	3	21	2
72	59	80	11	3
3	53	92	89	2
98	82	43	80	2
39	95	47	11	3
46	85	76	56	2
28	74	1	80	2
9	44	51	86	1
56	55	58	42	2
40	91	5	80	1
71	35	88	90	2
46	4	43	6	1
70	32	20	82	1
75	98	0	98	2
90	74	16	39	3
53	18	88	40	3
28	62	20	90	3
80	91	27	78	1
83	32	93	37	1
53	51	31	66	2
54	42	44	96	3
83	46	50	31	2
39	82	34	59	3
69	43	69	61	3
32	57	5	74	2
7	3	12	79	1
0	1	74	1	2
40	42	83	47	3
41	93	55	32	2
33	78	36	37	1
82	73	66	98	3
42	91	57	31	2
81	65	88	9	1
7	92	61	43	3
25	83	80	80	2
92	81	84	35	1
22	96	70	82	1
98	82	92	93	3
1	95	9	7	2
18	79	40	89	3
64	26	31	72	2
59	28	40	53	2
43	92	91	61	2
92	22	55	13	2
60	78	8	44	1
11	65	71	80	1
78	31	93	61	3
18	60	3	41	3

----------------RUN THREE----------------

FIFO	LIFO	Sorted	Data	Priority
73	64	65	12	1
99	98	78	50	1
95	73	54	26	1
31	39	46	57	2
29	4	65	60	2
61	56	75	95	2
85	16	72	26	2
23	40	44	54	1
90	86	30	10	2
70	61	93	80	2
17	50	86	27	2
16	95	27	53	1
24	63	27	67	2
3	68	22	71	2
98	75	20	40	2
12	64	19	53	2
60	43	18	24	2
50	22	44	67	1
24	46	64	56	3
8	71	31	73	2
72	56	25	75	2
83	94	37	53	1
23	76	78	34	3
86	14	22	39	3
43	7	65	89	3
12	84	57	64	1
50	79	41	69	1
35	44	17	1	3
77	90	68	89	2
45	84	60	42	3
91	65	76	74	2
45	39	83	12	1
70	46	16	52	3
32	17	32	76	2
70	18	72	58	3
85	22	46	98	3
73	86	55	15	2
81	50	30	36	3
27	34	82	48	2
37	15	21	69	1
10	40	86	97	3
1	36	33	98	3
20	67	40	37	3
85	0	15	21	2
79	59	80	23	3
73	53	92	89	2
99	82	43	80	2
6	95	47	75	3
79	85	76	56	2
21	74	15	80	2
56	44	51	86	1
34	55	58	42	2
91	91	12	80	1
72	35	88	90	2
3	4	43	6	1
98	32	20	82	1
39	98	11	98	2
46	74	16	31	3
28	18	88	81	3
9	62	20	26	3
56	91	27	78	1
40	32	93	37	1
71	51	31	66	2
46	42	44	12	3
70	46	50	31	2
75	82	34	37	3
90	43	69	92	3
53	57	9	74	2
28	3	12	79	1
80	1	74	1	2
83	42	83	42	3
53	93	55	32	2
54	78	36	37	1
83	73	66	11	3
39	91	57	31	2
69	65	88	9	1
32	92	61	11	3
7	83	80	80	2
0	81	84	35	1
40	96	70	82	1
41	82	92	39	3
33	95	9	7	2
82	79	40	40	3
42	26	31	72	2
81	28	40	53	2
7	92	91	61	2
25	22	55	13	2
92	78	8	44	1
22	65	71	80	1
98	31	93	90	3
1	60	5	96	3
18	30	5	59	3
64	31	5	61	3
59	97	3	47	3
43	45	3	98	3
92	44	2	43	3
60	2	1	93	3
11	36	1	89	3
78	88	0	61	3
18	33	0	41	3

Array values for run #4:
FIFO	LIFO	Sorted	Data	Priority
15	54	9	37	3
54	50	27	92	3
33	75	69	59	1
92	52	88	2	1
79	67	87	65	2
64	45	43	90	2
16	55	60	35	1
81	5	29	29	1
2	11	30	84	3
45	63	4	11	2
61	19	98	4	2
11	51	95	29	2
61	61	72	17	2
22	84	82	62	2
24	54	64	67	3
95	85	36	87	3
83	32	2	25	2
61	98	67	73	1
61	72	97	3	2
94	87	15	82	2
91	67	75	38	2
22	76	93	8	2
65	56	30	95	2
3	82	32	10	1
18	57	30	43	2
34	33	71	93	2
42	41	46	91	2
30	77	70	7	2
77	96	44	34	3
60	5	54	18	2
28	30	91	7	1
93	29	74	66	2
26	42	13	35	1
53	42	68	95	2
5	7	95	9	1
50	37	74	90	2
89	58	35	38	1
61	45	34	36	3
4	74	49	5	3
93	11	90	23	3
6	88	33	79	1
47	83	78	98	1
1	77	75	90	3
87	38	47	40	2
0	88	20	44	3
97	31	96	20	1
52	44	0	11	2
86	29	22	23	1
0	77	4	8	2
24	58	81	60	2
3	62	74	22	1
38	16	83	69	3
24	97	52	22	1
2	69	4	54	2
60	32	85	92	3
36	65	74	91	1
38	18	31	29	1
17	73	47	73	2
2	18	71	59	1
26	9	84	98	1
76	82	95	10	1
14	0	85	29	1
43	90	83	24	3
51	28	45	10	2
12	56	10	21	2
79	51	58	52	1
59	49	95	44	3
71	1	54	90	3
3	48	51	84	1
97	12	63	8	1
60	56	45	4	2
73	82	82	54	3
95	65	14	17	1
58	81	59	88	1
94	42	97	82	3
20	15	66	89	2
70	0	20	15	1
65	13	45	2	2
0	15	42	14	2
71	57	21	85	1
37	78	13	91	3
46	90	36	37	2
39	90	93	50	1
41	49	4	40	2
81	61	2	28	2
92	15	76	63	3
30	46	33	87	2
81	25	70	45	1
3	56	26	0	1
81	56	35	24	2
74	54	27	29	3
46	0	58	55	3
26	57	1	13	2
34	95	27	12	3
31	38	5	60	2
94	45	13	9	3
62	59	31	27	1
23	1	85	59	2
40	21	43	3	3
6	41	30	26	3

----------------RUN FOUR----------------

FIFO	LIFO	Sorted	Data	Priority
15	63	88	59	1
54	19	98	2	1
33	51	95	35	1
92	61	87	29	1
79	84	82	65	2
64	54	72	90	2
16	85	69	11	2
81	32	64	4	2
2	98	67	73	1
45	72	97	29	2
61	87	60	17	2
11	67	75	62	2
61	76	93	25	2
22	56	43	3	2
24	82	36	10	1
95	57	32	82	2
83	33	71	38	2
61	41	46	8	2
61	77	70	95	2
94	96	44	43	2
91	5	54	93	2
22	30	91	7	1
65	29	74	91	2
3	42	30	35	1
18	42	68	7	2
34	7	95	9	1
42	37	74	18	2
30	58	35	38	1
77	45	34	66	2
60	74	49	95	2
28	11	90	90	2
93	88	33	79	1
26	83	78	98	1
53	77	75	37	3
5	38	47	40	2
50	88	30	92	3
89	31	96	20	1
61	44	30	11	2
4	29	29	23	1
93	77	27	8	2
6	58	81	60	2
47	62	74	22	1
1	16	83	84	3
87	97	52	22	1
0	69	22	54	2
97	32	85	67	3
52	65	74	91	1
86	18	31	29	1
0	73	47	73	2
24	18	71	59	1
3	9	84	98	1
38	82	95	10	1
24	0	85	29	1
2	90	83	87	3
60	28	45	10	2
36	56	20	21	2
38	51	58	52	1
17	49	95	34	3
2	1	54	36	3
26	48	51	84	1
76	12	63	8	1
14	56	45	4	2
43	82	82	5	3
51	65	15	17	1
12	81	59	88	1
79	42	97	23	3
59	15	66	89	2
71	0	20	15	1
3	13	45	2	2
97	15	42	14	2
60	57	21	85	1
73	78	14	90	3
95	90	36	37	2
58	90	93	50	1
94	49	13	40	2
20	61	13	28	2
70	15	76	44	3
65	46	33	87	2
0	25	70	45	1
71	56	26	0	1
37	56	35	24	2
46	54	27	69	3
39	0	58	92	3
41	57	10	13	2
81	95	27	24	3
92	38	9	60	2
30	45	13	44	3
81	59	31	27	1
3	1	85	59	2
81	21	43	90	3
74	41	30	54	3
46	11	5	82	3
26	5	4	91	3
34	55	4	63	3
31	45	4	29	3
94	67	4	55	3
62	52	2	12	3
23	75	2	9	3
40	50	1	3	3
6	54	0	26	3

Clock cycles for first run: 400 - 400
Clock cycles for second run: 100 - 100
Clock cycles for third run: 400 - 100
Clock cycles for fourth run: 100 - 400

